Fwd Packet Length Mean,Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label,NormFwd_Packet_Length_Mean,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormFlow_IAT_Std,Sequential,NormBwd_IAT_Total,NormBwd_IAT_Std,NormBwd_Packet_Bulk_Avg,NormFwd_Packet_Bulk_Avg
155.595833333,322.116002103,175938,1306.66868161,video_dataset29,1.03730555556,8.71112454409,4.47488228602,6.53556509652,1,0.000146640793346,6.60031958439,0.8712,
148.547332186,308.002703605,225957,1303.86200164,video_dataset29,0.990315547906,8.69241334429,4.27881829344,4.18992987657,2,0.000188330626368,4.23512760465,1.94633333333,
138.348571429,299.127694806,52008,1312.80916499,video_dataset29,0.922323809524,8.75206109992,4.15552538217,4.24708605625,3,0.000043347624620,4.28096472978,0.7608,
158.974895397,319.666001177,125856,1299.07153743,video_dataset29,1.05983263598,8.66047691618,4.4408465173,4.80601306986,4,0.000104898451087,4.86210880035,0.7436,
129.232415902,278.101013922,237443,1307.44316567,video_dataset29,0.861549439348,8.71628777112,3.86341967738,1.80048951987,5,0.000197903976937,1.82033600245,4.7846,
117.704103672,142.68789892,101531,1139.64340312,video_dataset29,0.784694024478,7.59762268749,1.98224101609,2.46503104714,6,0.000084624051593,2.6155494999,0.401133333333,
112.519379845,269.867707775,30200,1301.18731287,video_dataset29,0.750129198966,8.67458208583,3.74904139255,3.50685409077,7,0.000025171094130,3.55130360432,0.3562,
139.324776786,298.878844477,361479,1303.6515375,video_dataset29,0.928831845238,8.69101024998,4.15206831726,4.41453956175,8,0.000301285494537,4.4609860248,3.02866666667,
209.234741784,372.705523035,40920,1264.47897196,video_dataset29,1.39489827856,8.42985981308,5.17767925852,2.73259531032,9,0.000034105999066,2.78879473061,0.370866666667,
83.5484536082,213.119229576,144133,1273.89261985,video_dataset29,0.556989690722,8.49261746565,2.96068329115,5.36543662224,10,0.000120131963915,5.46357461616,0.933066666667,
149.099244876,308.159440144,364160,1298.30919838,video_dataset29,0.99399496584,8.65539465589,4.2809957002,2.64380176767,11,0.000303520054251,2.67730967854,5.3458,
93.2109375,231.645692402,97476,1320.05098882,video_dataset29,0.62140625,8.80033992548,3.21805560356,6.02706266328,12,0.000081244290444,6.07967379104,0.775266666667,
133.601023018,288.303034305,246215,1295.2666182,video_dataset29,0.890673486786,8.635110788,4.00514762629,4.37325952609,13,0.000205215262954,4.43081088396,2.10906666667,
157.090305445,314.605971599,243108,1301.86413869,video_dataset29,1.04726870297,8.67909425797,4.37055185148,3.34358072851,14,0.000202625640786,3.37916468514,2.58786666667,
157.304410701,317.787952815,381557,1304.19455542,video_dataset29,1.04869607134,8.69463036945,4.41475639669,3.27489791627,15,0.000318020104733,3.30836173904,4.9394,
111.363636364,258.832616364,82808,1309.07152808,video_dataset29,0.742424242424,8.7271435205,3.59574029991,3.20621864486,16,0.000069018806712,3.23646108202,1.2442,
123.445238095,147.127708561,100500,1148.71138072,video_dataset29,0.822968253968,7.6580758715,2.04391949646,2.6222969759,17,0.000083764733777,2.7679077789,0.390066666667,
149.469172932,306.914653269,367994,1298.8563828,video_dataset29,0.996461152882,8.659042552,4.26370294014,3.67483847507,18,0.000306715616333,3.71922218207,3.97206666667,
259.973509934,417.077993458,30916,1247.07865802,video_dataset29,1.73315673289,8.31385772014,5.79410806239,3.38830271869,19,0.000025767865766,3.46629739416,0.2364,
118.558139535,139.921318083,205700,1157.16193103,video_dataset29,0.790387596899,7.71441287356,1.94380727327,6.16845623501,20,0.000171446823263,6.43481174253,0.483266666667,
218.319796954,378.70801426,154113,1282.42885855,video_dataset29,1.45546531303,8.54952572366,5.26106673845,4.76601309655,21,0.000128450093697,4.83556736633,0.961866666667,
168.345588235,327.857624234,314867,1287.41807473,video_dataset29,1.12230392157,8.5827871649,4.55464573458,4.0666350592,22,0.000262435327663,4.12655223705,2.33173333333,
147.403940887,311.41962503,310842,1297.381528,video_dataset29,0.982692939245,8.64921018665,4.32628666216,2.11521377612,23,0.000259080570912,2.14327178677,5.2338,
123.777777778,278.266357672,164150,1288.3820665,video_dataset29,0.825185185185,8.58921377663,3.86571665676,7.47447293378,24,0.000136815731836,7.58873038525,0.595466666667,
123.217821782,282.975638667,108210,1312.34378981,video_dataset29,0.821452145215,8.74895859873,3.93113867234,8.30402701839,25,0.000090190864100,8.37484814515,0.4186,
191,359.194106242,154306,1272.00683105,video_dataset29,1.27333333333,8.4800455403,4.98997669401,3.7238070849,26,0.000128610955325,3.79441105178,1.02466666667,
162.195195195,321.87814587,307093,1297.7078188,video_dataset29,1.0813013013,8.65138545865,4.47157795268,4.70850409953,27,0.000255955854624,4.76320212358,2.0676,
141.870588235,302.045718873,106819,1314.55719265,video_dataset29,0.945803921569,8.76371461766,4.19606299633,4.94236325074,28,0.000089031493506,4.97739711254,0.841533333333,
115.222222222,138.085153682,149142,1142.44945233,video_dataset29,0.768148148148,7.61632968217,1.91829901073,4.26736340104,29,0.000124306864925,4.48998560155,0.3712,
142.768717215,297.470484799,442059,1303.76813892,video_dataset29,0.9517914481,8.6917875928,4.13250318005,2.54683447412,30,0.000368447307947,2.57491307195,7.06393333333,
119.045454545,267.329779371,196241,1295.8777271,video_dataset29,0.793636363636,8.63918484736,3.71378412256,4.21653234819,31,0.000163562936528,4.27302015332,1.62253333333,
230.742063492,385.589885214,155164,1271.99425287,video_dataset29,1.53828042328,8.47996168582,5.35667068926,4.09664577987,32,0.000129326081112,4.16871054221,1.02073333333,
189.392086331,359.222213657,123672,1288.31880683,video_dataset29,1.26261390887,8.58879204551,4.99036716631,1.70543042183,33,0.000103078130902,1.73276237961,2.0896,
164.946531792,332.134315019,283575,1293.79313901,video_dataset29,1.09964354528,8.62528759341,4.61405814412,2.64958369314,34,0.000236354073441,2.68624599487,3.68453333333,
96.5625,239.731903439,30005,1308.28653693,video_dataset29,0.64375,8.72191024623,3.33039042173,5.55267876849,35,0.000025008565542,5.61597857428,0.335666666667,
121.857594937,273.553317932,144599,1310.66019622,video_dataset29,0.812383966245,8.73773464149,3.80024242417,4.8176052563,36,0.000120520365566,4.86136270263,1.2638,
187.504504505,347.182692037,185228,1294.29345168,video_dataset29,1.25003003003,8.62862301123,4.82311238331,4.04158807065,37,0.000154383821970,4.09301076252,1.2542,
114.387892377,110.713456391,110864,1164.52521961,video_dataset29,0.762585949178,7.76350146406,1.53804741644,2.54368284602,38,0.000092402919855,2.67367864528,0.470466666667,
138.405325444,298.325880159,135398,1286.2543422,video_dataset29,0.922702169625,8.57502894802,4.14438645664,5.69989140787,39,0.000112851516656,5.79452297937,0.721533333333,
98.4568965517,250.38684478,33937,1287.82267862,video_dataset29,0.656379310345,8.58548452415,3.47841041439,5.75033029946,40,0.000028285808659,5.8639184749,0.2304,
135.277372263,297.197541008,59767,1308.44862518,video_dataset29,0.901849148418,8.72299083454,4.12871140527,4.93227945732,41,0.000049814595459,4.97985654994,0.506666666667,
125.75,288.169540971,18308,1306.44535629,video_dataset29,0.838333333333,8.70963570857,4.00329311751,2.55483709235,42,0.000015259350706,2.58299322107,333,
156.052631579,322.616965563,132005,1297.14946835,video_dataset29,1.04035087719,8.64766312236,4.48184174315,5.89029192306,43,0.000110023519226,5.96524721766,0.658266666667,
