fwdPacketLengthMean, fwdPacketLengthStd, bwdIATTotal, packetLengthMean, floxLabel, normFwdPacketLengthMean, normPacketLengthMean, normFwdPacketLengthStd, normBwdIATTotal,xPonctual, xInf, xSup, lowPacketLengthMeanUpperBound, lowPacketLengthMeanLowerBound,reasonablePacketLengthMeanUpperBound, reasonablePacketLengthMeanLowerBound, highPacketLengthMeanUpperBound,highPacketLengthMeanLowerBound, lowPacketLengthStdUpperBound, lowPacketLengthStdLowerBound,reasonablePacketLengthStdUpperBound, reasonablePacketLengthStdLowerBound, highPacketLengthStdUpperBound,highPacketLengthStdLowerBound, lowBackwardIatTotalUpperBound, lowBackwardIatTotalLowerBound,reasonableBackwardIatTotalUpperBound, reasonableBackwardIatTotalLowerBound, highBackwardIatTotalUpperBound,highBackwardIatTotalLowerBound, lowVideoUpperBound, lowVideoLowerBound, averageVideoUpperBound, averageVideoLowerBound,highVideoUpperBound, highVideoLowerBound, Sequencial
"0.0","0.0","0.0","0.0","vod","0.0","8.711124","5.34404","1.11E-4","8.499272759439487","8.25590941219007","8.742636106688904","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9373739130434785","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.2501818101401283","1.9815819087553387E-4","0.7607114694433668","0.5812262231254619","1637"
"0.0","0.0","0.0","0.0","vod","0.0","8.711124","5.34404","1.11E-4","8.499272759439487","8.25590941219007","8.742636106688904","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9373739130434785","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.2501818101401283","1.9815819087553387E-4","0.7607114694433668","0.5812262231254619","1638"
"0.0","0.0","0.0","0.0","http","0.0","10.0","5.096811","0.100412","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","310"
"0.0","0.0","0.0","0.0","live","0.0","8.627339","4.55541","4.7E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.8936565217391306","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","827"
"0.0","0.0","0.0","0.0","live","0.0","8.627339","4.55541","4.7E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.8936565217391306","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","828"
"0.0","0.0","0.0","0.0","live","0.0","8.610355","5.088786","6.8E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","855"
"0.0","0.0","0.0","0.0","live","0.0","8.610355","5.088786","6.8E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","856"
"0.0","0.0","0.0","0.0","live","0.0","8.528136","4.64185","6.0E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9312391304347826","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","861"
"0.0","0.0","0.0","0.0","live","0.0","8.528136","4.64185","6.0E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.9312391304347826","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","862"
"0.0","0.0","0.0","0.0","live","0.0","8.650115","5.109632","8.2E-5","8.499272759439485","8.25590941219007","8.742636106688902","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.25018181014012875","1.9815819087601788E-4","0.7607114694433663","0.5812262231254616","875"
